Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles
12/27/2022,United States,5,Dhaval Chauhan,very lightweight,excited to use it on our first travel with the little one,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1XVRXIFLZV2LY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
12/20/2022,United States,2,Valerie Balthazar,Meh…,Maybe the model I received was faulty but it was difficult opening/closing it with just one hand and still a bit hard to do it with two. There’s also absolutely no padding so I can’t imagine it would be comfortable for a toddler.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3MQ57RFM2S0FB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
12/12/2022,United States,3,Erin Kopacz,Compact/lightweight travel stroller with flaws,"Pros: compact and lightweight (usually fits in overheard on airplane)Cons: not easy enough fold/unfold (sometimes requires two hands or using your foot to kick it out to pop into place), wheels are cheap and meant for very smooth surface only, uncomfortable for baby.1) It takes some getting used to to pop it open and close it up - Often a 2 handed operation. 2) One of the wheels rattles and the wheels aren't meant to be taken even on sidewalks, let alone brick or off road. Makes for a noisy and bumpy ride. 3) my son is always so uncomfortable in this stroller - the back is basically a hard cardboard and then the slightest bit of padding. He squirms and wines a lot in it.Would recommend a product with wheels that aren't flimsy plastic so they don't make noise and can handle more than a perfectly smooth surface. Also a stroller with a more comfortable seat for baby - not sure mine will ever nap in this, and he's pretty low key. But if you just want something lightweight that is easy to travel on planes with...then this fits the bill.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1P6QGX1VTJ04J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,1,,
12/11/2022,United States,5,cloudxy2,Thanks,It is all good so far,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2HDNVV0IGU9OK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
12/01/2022,United States,4,Dan,So close to being great,"This stroller is so nearly perfect for travel. I used it on one short trip and it was awesome for manuevering one handed through the airport while I wheeled luggage in the other hand. My XL toddler fit well in the seat. The buckle was initially a hassle but I figured out a hack for just keeping the 2 side pieces permanently together so I wasn't trying to fit all 4 pieces together every time. The basket below is okay not amazing because it won't fit a full size backpack, but neither will any ultra compact travel stroller that I'm aware of. It folds down pretty compact and is relatively light and easy to carry, especially with the nice bag that's provided. The deal breaker for me was the fold. The buttons to activate the fold were so stiff I couldn't manage them one handed. And even with two hands I constantly struggled to get the folding mechanism to activate. I don't have weak hands but this thing really requires a lot of fumbling and that is just not okay when you are trying to get it folded quickly in a jet bridge or any other situation where you don't want to spend a full minute cursing quietly as strangers offer to help you while you're struggling. Perhaps this would have loosened up over time, but this stroller was meant to be a travel companion to make life easier, not our daily driver, so I didn't want to struggle with it every time we really needed it. Even all that said, I may have still sucked it up and kept it if I hadn't gotten a great deal on a Joolz Aer, which folds SO much easier and is comparable in all other aspects to this model.",https://m.media-amazon.com/images/I/7146halhsGL._SY1600.jpg,,TRUE,https://www.amazon.com/gp/customer-reviews/R2412OKI28KXJW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,15,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
11/29/2022,United States,3,Lucillya,Not for Tall Babies,I loved every aspect of this stroller however my 18 month old is pretty tall and his head is already hitting the top. The only thing I did not like is that the basket was barely accessible not present. I don’t understand why they have to put a metal bar on top of the basket which prevents accessibility.I would recommend the 3 wheel baby jogger instead if you have a tall baby/toddler.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RI30TX04I5I6W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
11/29/2022,United States,5,Cassidy Osborn,Great Stroller!,After researching travel strollers and wanting something compact but not to small for my tall toddler. I came across this stroller and decided to order it on sale on cyber monday. After previously owning the uppababy vista I was tired of lugging around a bigger stroller while on trips. This stroller is excellent quality great frame and fabric. Easy to steer! Pretty easy to fold and unfold however I still personally need to use both hands and I'm not sure if I just need to get used to it. Handled our uneven roads and sidewalks pretty good even grass and gravel pretty decently. Overall I'm very impressed with this stroller for the price and quality you get! I do wish the seat was up a bit higher and maybe some bigger wheels but it is also made to be compact so I understand that taking wheels off may not always be convenient. Also love that I can get adapters for an infant seat if I do ever have another.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R212D0ZFZARZAI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,2,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
11/26/2022,United States,4,Ellie,Great stroller but technically needs two hands to fold,It is a great stroller with good price! My baby seems comfortable in it and love how jt’s footrest comes out so easily. But this can’t stand by itself and needs two hands to fold.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R31MGQFPG2SPAR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
11/16/2022,United States,5,Nina,Convenient travel stroller,Very compact. I like that we can take it with us on board as a carry on. Comes with a bag. No need to check it in.Baby can lay flat to sleep in it.Lightweight. Very easy to push even whith one hand.I can't fold or unfold it one handed though.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R2N7J1ZS3MJS6X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,,
11/11/2022,United States,1,Vanessa,Broke after five months,"The front wheel fell off and the stroller no longer stays in the folded position. After very average use, I am astounded. Even worse than the quality is the customer service. I called five times and waited for an hour each time and never got a representative. I emailed with the problem, got one response and then they ghosted me for 8 days now. Don’t waste your money. This is a Graco company so you are getting Graco level product for an uppababy price.",,,TRUE,https://www.amazon.com/gp/customer-reviews/RHRIO4V4IKXNZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,2,B094NZBP1H,Style: City Tour 2 Stroller | Color: Shadow Grey
